a9d0be2 - Kai Saborowski, vor 4 Wochen : Fixed version in README.md.
2afce37 - Kai Saborowski, vor 1 Jahr, und 10 Monaten : Merge pull request #52 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.6.3
fd79242 - dependabot[bot], vor 1 Jahr, und 10 Monaten : Bump spring-boot-starter-parent from 2.6.1 to 2.6.3
33bfa5c - dependabot[bot], vor 1 Jahr, und 11 Monaten : Bump google-http-client-jackson2 from 1.40.0 to 1.41.0
ed92aaa - Kai Saborowski, vor 1 Jahr, und 11 Monaten : Merge pull request #49 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.13.1
c59e530 - dependabot[bot], vor 1 Jahr, und 11 Monaten : Bump jackson-databind from 2.12.5 to 2.13.1
c6e2637 - Kai Saborowski, vor 2 Jahren : Bumped Java version to 17, set PI4J version back to 1.4.
dc5f0ae - Kai Saborowski, vor 2 Jahren : Merge pull request #47 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.6.1
3dd4492 - dependabot[bot], vor 2 Jahren : Bump spring-boot-starter-parent from 2.5.6 to 2.6.1
fed4f81 - Kai Saborowski, vor 2 Jahren, und 1 Monat : Merge pull request #43 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.5.6
2621175 - dependabot[bot], vor 2 Jahren, und 1 Monat : Bump spring-boot-starter-parent from 2.5.4 to 2.5.6
9046f93 - Kai Saborowski, vor 2 Jahren, und 3 Monaten : Merge pull request #35 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.12.5
9bd63e9 - Kai Saborowski, vor 2 Jahren, und 3 Monaten : Merge pull request #36 from ksbrwsk/dependabot/maven/com.google.http-client-google-http-client-jackson2-1.40.0
0c25d8d - Kai Saborowski, vor 2 Jahren, und 3 Monaten : Merge pull request #37 from ksbrwsk/dependabot/maven/com.pi4j-pi4j-core-2.0
10564d6 - dependabot[bot], vor 2 Jahren, und 3 Monaten : Bump pi4j-core from 1.4 to 2.0
7494267 - dependabot[bot], vor 2 Jahren, und 3 Monaten : Bump google-http-client-jackson2 from 1.39.2-sp.1 to 1.40.0
e2ca7ac - dependabot[bot], vor 2 Jahren, und 3 Monaten : Bump jackson-databind from 2.12.4 to 2.12.5
b6674ef - Kai Saborowski, vor 2 Jahren, und 3 Monaten : Merge pull request #34 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.5.4
